text,lang,label
"Vitamin C cures all diseases instantly.",en,3
"Vaccines cause autism according to all doctors.",en,3
"Water boils at lower temperature at high altitude.",en,0
"ارزش پول با افزایش عرضه پول کاهش می‌یابد.",fa,0
"همه افراد مبتلا به سرطان با یک دارو درمان می‌شوند.",fa,3
"İstanbul Türkiye'nin en kalabalık şehridir.",tr,0
"Dünya düzdür ve NASA bunu gizler.",tr,3
"Exercise can improve cardiovascular health.",en,0
"Every stock always goes up every day.",en,3
"Climate models incorporate physics and statistics.",en,0
"Drinking bleach disinfects the body safely.",en,3
"Smoking increases long-term health risks.",en,0
"The moon landing was faked in a studio in all verified histories.",en,3
"Machine learning requires data and computation.",en,0
"تمام خبرگزاری‌ها همیشه دروغ می‌گویند.",fa,3
"بارش برف در زمستان در مناطق سرد طبیعی است.",fa,0
"هیچ‌گاه نمی‌توان زبان‌های بشر را ترجمه کرد.",fa,3
"Ankara Türkiye'nin başkentidir.",tr,0
"Tüm aşılar kesinlikle zararlıdır ve hiç kimse kullanmamalıdır.",tr,3
"Renewable energy adoption has grown in many regions.",en,0
"Eating only sugar has no effect on blood glucose.",en,3
"Antibiotics kill bacteria but not viruses.",en,0
"All published RCTs in medicine agree on every therapy.",en,3
"Gravity attracts massive objects toward each other.",en,0
"جمعیت دنیا در دهه‌های اخیر رشد کرده است.",fa,0
"هیچ دانشی در جهان وجود ندارد.",fa,3
"کامپیوترها برای پردازش داده طراحی شده‌اند.",fa,0
"Trenler ray üzerinde hareket eder.",tr,0
"Tüm kanser türleri aynı ilaçla tedavi edilir.",tr,3
"Ocean acidification affects marine ecosystems.",en,0
"Jumping from a plane without a parachute is safe if you believe.",en,3
"DNA stores genetic information in cells.",en,0
"هر عدد زوج را می‌توان به دو برابر یک عدد صحیح نوشت.",fa,0
"همه ژورنال‌های علمی تقلبی هستند بدون استثنا.",fa,3
"İklim değişikliği bilimsel olarak incelenmektedir.",tr,0
"Güneş dünyanın etrafında döner ve ay sabittir.",tr,3
"Fractional reserve banking affects money supply.",en,0
"One weird trick solves all ML problems with zero data.",en,3
"Neural networks can approximate continuous functions.",en,0
"Mıknatıslar demir gibi manyetik maddelere çekilir.",tr,0
"Most economists agree inflation has multiple causes.",en,1
"The treatment works for some patients but not all.",en,1
"بسیاری از شواهد نشان می‌دهد ورزش مفید است اما تضمین مطلق نیست.",fa,1
"بعضی مطالعات نتیجه مثبت و بعضی منفی گزارش کرده‌اند.",fa,1
"Bulgular çoğunlukla olumlu ancak kesin değil.",tr,1
"Araştırmalar sonuçların karışık olabileceğini gösteriyor.",tr,1
"Some studies misuse statistics but many are sound.",en,2
"Evidence is mixed and causal claims are uncertain.",en,2
"برخی منابع قابل اعتماد نیستند ولی همه جعلی نیستند.",fa,2
"این ادعا تا حدی درست است ولی اغراق شده.",fa,2
"Veri kalitesi düşük olsa da tamamen anlamsız değil.",tr,2
"Bu iddia kısmen doğru fakat yanıltıcı bağlamda sunulmuş.",tr,2
